condition_concept_id,concept_name,occurrences,frequency
601619,Pain of right knee joint,124,0.06731813246471227
4077895,Pain in finger,31,0.016829533116178068
80502,Osteoporosis,137,0.0743756786102063
4193062,Early stage of pregnancy,25,0.013572204125950055
37309664,Asymptomatic microscopic hematuria,11,0.005971769815418024
4168686,Jaw pain,24,0.013029315960912053
4311629,Impaired glucose tolerance,17,0.009229098805646038
4166231,Genetic predisposition,19,0.01031487513572204
23325,Heartburn,41,0.02225841476655809
4198042,Disorder of bilirubin metabolism,39,0.021172638436482084
440374,Obsessive-compulsive disorder,10,0.0054288816503800215
374375,Impacted cerumen,57,0.030944625407166124
4043371,Inflammatory disorder of digestive tract,87,0.04723127035830619
438878,Liver function tests abnormal,51,0.02768729641693811
193688,Clostridioides difficile infection,38,0.02062975027144408
37396146,Gastrointestinal infection,44,0.023887079261672096
40491960,Sepsis due to methicillin resistant Staphylococcus aureus,21,0.011400651465798045
40489910,Sepsis due to Streptococcus group D,17,0.009229098805646038
435459,Staphylococcal infectious disease,39,0.021172638436482084
40481816,Infection by methicillin sensitive Staphylococcus aureus,39,0.021172638436482084
440940,Methicillin resistant Staphylococcus aureus infection,30,0.016286644951140065
438064,Bacterial infection due to Pseudomonas,32,0.01737242128121607
435742,Disease due to Gram-negative bacteria,17,0.009229098805646038
440321,Helicobacter-associated disease,24,0.013029315960912053
440329,Herpes zoster without complication,41,0.02225841476655809
440021,Herpes simplex without complication,23,0.01248642779587405
439674,Chronic viral hepatitis B without delta-agent,16,0.008686210640608035
198683,Viral hepatitis B without hepatic coma,18,0.009771986970684038
198964,Chronic hepatitis C,42,0.02280130293159609
197494,Viral hepatitis C,34,0.018458197611292075
140641,Verruca vulgaris,34,0.018458197611292075
440032,Cytomegalovirus infection,30,0.016286644951140065
440029,Viral disease,95,0.05157437567861021
140648,Onychomycosis due to dermatophyte,39,0.021172638436482084
133141,Tinea pedis,28,0.01520086862106406
29735,Candidiasis of mouth,71,0.03854505971769816
433701,Mycosis,34,0.018458197611292075
438688,Sarcoidosis,18,0.009771986970684038
196044,Primary malignant neoplasm of stomach,17,0.009229098805646038
436635,Primary malignant neoplasm of sigmoid colon,11,0.005971769815418024
197500,Primary malignant neoplasm of colon,36,0.019543973941368076
438699,Primary malignant neoplasm of rectosigmoid junction,17,0.009229098805646038
74582,Primary malignant neoplasm of rectum,26,0.014115092290988056
201519,Primary malignant neoplasm of liver,21,0.011400651465798045
194589,Primary malignant neoplasm of biliary tract,10,0.0054288816503800215
199754,Primary malignant neoplasm of pancreas,71,0.03854505971769816
198091,Primary malignant neoplasm of retroperitoneum,10,0.0054288816503800215
4092216,Malignant neoplasm of upper lobe of lung,36,0.019543973941368076
4157454,"Primary malignant neoplasm of lower lobe, bronchus or lung",17,0.009229098805646038
4311499,Primary malignant neoplasm of respiratory tract,63,0.03420195439739414
4298026,Squamous cell carcinoma of skin of face,11,0.005971769815418024
4157456,Primary malignant neoplasm of skin head and neck,12,0.006514657980456026
4111921,Squamous cell carcinoma of skin,27,0.014657980456026058
139750,Primary malignant neoplasm of skin,17,0.009229098805646038
4112752,Basal cell carcinoma of skin,26,0.014115092290988056
436353,Primary malignant neoplasm of upper outer quadrant of female breast,13,0.007057546145494028
45770892,Primary malignant neoplasm of uterus,12,0.006514657980456026
200051,Primary malignant neoplasm of ovary,14,0.00760043431053203
200962,Primary malignant neoplasm of prostate,52,0.02823018458197611
196360,Primary malignant neoplasm of bladder,18,0.009771986970684038
198985,Primary malignant neoplasm of kidney,20,0.010857763300760043
133424,Primary malignant neoplasm of thyroid gland,21,0.011400651465798045
4130839,Neoplasm of lymph node,20,0.010857763300760043
4131422,Neoplasm of intra-abdominal lymph nodes,19,0.01031487513572204
196925,Secondary malignant neoplasm of retroperitoneum and peritoneum,17,0.009229098805646038
198700,Secondary malignant neoplasm of liver,38,0.02062975027144408
378087,Secondary malignant neoplasm of brain and spinal cord,13,0.007057546145494028
373425,Secondary malignant neoplasm of nervous system,17,0.009229098805646038
432851,Secondary malignant neoplastic disease,78,0.04234527687296417
432571,Malignant lymphoma,31,0.016829533116178068
435753,Malignant lymphoma of intrathoracic lymph nodes,17,0.009229098805646038
132841,Malignant lymphoma of lymph nodes of multiple sites,21,0.011400651465798045
437233,Multiple myeloma,20,0.010857763300760043
134305,Acute lymphoid leukemia,26,0.014115092290988056
141816,Acute lymphoid leukemia in remission,17,0.009229098805646038
138379,"Chronic lymphoid leukemia, disease",12,0.006514657980456026
140352,"Acute myeloid leukemia, disease",34,0.018458197611292075
135762,Acute myeloid leukemia in remission,10,0.0054288816503800215
317510,Leukemia,12,0.006514657980456026
37018338,Benign carcinoid tumor,13,0.007057546145494028
45767695,Metastatic carcinoid tumor,13,0.007057546145494028
196061,Benign neoplasm of stomach,15,0.008143322475570033
77234,Benign neoplasm of colon,60,0.03257328990228013
434303,Benign neoplasm of rectum and anal canal,11,0.005971769815418024
136057,Benign neoplasm of skin of trunk,18,0.009771986970684038
444445,Benign neoplasm of skin of lower limb,10,0.0054288816503800215
138102,Benign neoplasm of skin,47,0.025515743756786103
72576,Benign tumor of breast,14,0.00760043431053203
379769,Benign neoplasm of brain,14,0.00760043431053203
376063,Benign neoplasm of cerebral meninges,13,0.007057546145494028
192273,Benign neoplasm of adrenal gland,11,0.005971769815418024
198400,Hemangioma of skin and subcutaneous tissue,23,0.01248642779587405
197239,Hemangioma of intra-abdominal structure,15,0.008143322475570033
81250,Carcinoma in situ of breast,14,0.00760043431053203
433435,Carcinoma in situ,13,0.007057546145494028
40492458,Neoplasm of uncertain behavior of digestive organ,21,0.011400651465798045
374313,Neoplasm of uncertain behavior of soft tissues,56,0.03040173724212812
135777,Neoplasm of uncertain behavior of skin,103,0.05591748099891422
438383,Essential thrombocythemia,31,0.016829533116178068
138994,Myelodysplastic syndrome (clinical),23,0.01248642779587405
317248,Disorder of hematopoietic structure,74,0.04017372421281216
432582,Neoplastic disease of uncertain behavior,63,0.03420195439739414
196931,Neoplasm of digestive tract,14,0.00760043431053203
434300,Neuroendocrine tumor,15,0.008143322475570033
438112,Neoplastic disease,34,0.018458197611292075
135772,Goiter,10,0.0054288816503800215
136368,Non-toxic multinodular goiter,46,0.0249728555917481
133727,Thyrotoxicosis without goiter or other cause,11,0.005971769815418024
443238,Diabetic - poor control,39,0.021172638436482084
192279,Disorder of kidney due to diabetes mellitus,42,0.02280130293159609
443767,Disorder of eye due to diabetes mellitus,14,0.00760043431053203
443730,Disorder of nervous system due to diabetes mellitus,24,0.013029315960912053
443732,Disorder due to type 2 diabetes mellitus,31,0.016829533116178068
24609,Hypoglycemia,43,0.023344191096634093
136934,Primary hyperparathyroidism,10,0.0054288816503800215
23986,Disorder of pituitary gland,17,0.009229098805646038
435508,Adrenal cortical hypofunction,32,0.01737242128121607
193165,Disorder of adrenal gland,25,0.013572204125950055
437246,Vitamin B deficiency,46,0.0249728555917481
437827,Pure hypercholesterolemia,167,0.09066232356134636
440360,Pure hyperglyceridemia,52,0.02823018458197611
438720,Mixed hyperlipidemia,112,0.06080347448425624
437530,Disorder of lipid metabolism,23,0.01248642779587405
45770886,Disorder of plasma protein metabolism,59,0.03203040173724213
440674,Gout,85,0.046145494028230184
438725,Disorder of magnesium metabolism,53,0.028773072747014114
435511,Hypercalcemia,42,0.02280130293159609
441829,Hyperosmolality and or hypernatremia,66,0.035830618892508145
438730,Alkalosis,58,0.031487513572204126
37311319,Hypovolemia,115,0.06243213897937025
435796,Dehydration,169,0.09174809989142237
441830,Disorder of fluid AND/OR electrolyte,41,0.02225841476655809
254320,Cystic fibrosis of the lung,13,0.007057546145494028
4079687,Tumor lysis syndrome,13,0.007057546145494028
436670,Metabolic disease,13,0.007057546145494028
443216,Graft versus host disease,26,0.014115092290988056
439416,Acute graft-versus-host disease,19,0.01031487513572204
434314,Chronic graft-versus-host disease,19,0.01031487513572204
432875,Anemia due to chronic blood loss,23,0.01248642779587405
434622,Deficiency anemias,12,0.006514657980456026
137829,Aplastic anemia,12,0.006514657980456026
441258,Anemia in neoplastic disease,90,0.048859934853420196
35624756,Anemia due to and following chemotherapy,49,0.026601520086862108
436093,Disseminated intravascular coagulation,32,0.01737242128121607
432585,Blood coagulation disorder,104,0.05646036916395222
4103532,Immune thrombocytopenia,11,0.005971769815418024
4119158,Neutropenic disorder,65,0.03528773072747014
432289,Drug-induced neutropenia,44,0.023887079261672096
4304002,Eosinophil count raised,12,0.006514657980456026
435224,Leukopenia,58,0.031487513572204126
441541,Lymphocytopenia,32,0.01737242128121607
434008,White blood cell disorder,13,0.007057546145494028
4295287,Hypercoagulability state,11,0.005971769815418024
441260,Drug withdrawal,10,0.0054288816503800215
373995,Delirium,123,0.06677524429967427
4182210,Dementia,35,0.019001085776330078
374009,Organic mental disorder,23,0.01248642779587405
4282316,Recurrent major depression,34,0.018458197611292075
435220,Severe recurrent major depression without psychotic features,15,0.008143322475570033
44784632,Episodic mood disorder,15,0.008143322475570033
436073,Psychotic disorder,31,0.016829533116178068
4113821,Anxiety state,154,0.08360477741585233
4211231,Panic disorder without agoraphobia,36,0.019543973941368076
